mixed,cat,date,num
,HT33,2013-02-17,10.17287723
,HT33,2013-02-08,10.17287723
,HT33,2013-02-17,10.19118694
,HT33,2013-02-16,10.18813699
,8D97,2013-02-26,0
,8D97,2013-01-12,0
,8D97,2013-02-17,0
,2A31,2013-01-08,73.50849653
,2A31,2013-02-13,73.50849653
,2A31,2013-02-03,73.50849653
,2A31,2013-01-11,73.50849653
,2A31,2013-01-20,73.50849653
,4V31,2013-01-29,0
,8A94,2013-02-06,
,8A94,2013-02-15,
,8A94,2013-03-01,
11,7A82,2013-02-06,0.04883
11,7A82,2013-01-16,0.04883
10,7A82,2013-01-01,0.08392
11,7A82,2013-03-01,0.0061
,2A32,2013-02-28,0
,2A32,2013-02-25,0
,2A32,2013-01-10,0
,2A32,2013-01-03,0
,2A32,2013-01-21,0
0,KY31,2013-02-02,0
,LS21,2013-02-20,
,LS21,2013-01-28,
,LS21,2013-02-28,
,LS21,2013-01-02,
,1V71,2013-02-02,57.92236
,HT72,2013-01-09,54.80405157
,HT72,2013-02-09,54.81626307
,HT72,2013-01-02,54.63313071
,HT72,2013-02-19,54.02270617
,HT72,2013-01-10,54.02270617
,8V31,2013-01-03,
,8V31,2013-01-13,
,8V31,2013-01-26,
,4Z52,2013-01-07,100.0016
,4Z52,2013-01-25,100.00007
,WG53,2013-01-02,100.0016
,WG53,2013-02-08,80.1562475
,WG53,2013-02-03,80.15753
,5S31,2013-02-20,
,5S31,2013-02-09,
,5S31,2013-02-26,
,XM52,2013-01-31,0
,XM52,2013-01-30,0
,3Z51,2013-01-26,
,3L52,2013-02-07,
,2D31,2013-01-02,16.76942
,2D31,2013-02-27,16.92506
,5S11,2013-01-12,
,5S11,2013-01-07,
,5S11,2013-02-01,
,1S51,2013-01-17,22.55189492
,1S51,2013-01-26,22.40263536
,1M31,2013-01-25,85.22361642
,3H11,2013-02-16,
,3H11,2013-01-23,
,3H11,2013-01-27,
,3H11,2013-01-13,
,3H11,2013-01-04,
,3H11,2013-02-22,
,3H11,2013-01-09,
,HZ11,2013-01-11,0
,1R51,2013-01-03,10.69166893
,3A53,2013-01-23,
,3A53,2013-02-04,
,3A53,2013-01-07,
,5S31,2013-01-06,
,1V71,2013-01-12,57.92236
,1V71,2013-02-04,51.40381
,1V71,2013-01-11,51.23291
,1V71,2013-01-23,56.0791
,1V71,2013-01-03,59.19189
,2A32,2013-01-12,0
,2A32,2013-02-12,0
,3M21,2013-01-11,
,3M21,2013-03-01,
,3M21,2013-01-02,
,XM53,2013-02-05,39.09305
,XM53,2013-02-05,39.09305
,2A32,2013-02-08,0
,2A32,2013-02-22,0
,8C92,2013-02-10,0
,4U73,2013-01-30,100.00007
,XG12,2013-02-24,
,XG12,2013-01-11,
,XG12,2013-01-13,
,XG12,2013-02-14,
,XG12,2013-01-31,
,XG12,2013-01-25,
,3H11,2013-01-12,
,XS52,2013-03-01,100.00159
,XS52,2013-01-04,100.0016
,XS52,2013-02-03,100.00159
,LS21,2013-02-10,
,LS21,2013-02-02,
,LS21,2013-01-20,
,5T31,2013-02-19,
,5T31,2013-01-25,
,5T31,2013-02-12,
,5T31,2013-01-26,
,5T31,2013-01-18,
,5T31,2013-01-19,
,5T31,2013-02-11,
,5L31,2013-02-11,99.98779
,3L51,2013-02-16,
,3L51,2013-01-02,
,3L51,2013-01-24,
,5D12,2013-01-10,
,5D12,2013-01-05,
,5D12,2013-01-08,
,5T31,2013-01-20,
,5T31,2013-02-20,
,5T31,2013-02-27,
,5T31,2013-01-15,
,5T31,2013-01-14,
,5T31,2013-01-07,
,3V31,2013-02-17,
,3V31,2013-01-01,
,3V31,2013-02-28,
,3V31,2013-01-25,
,3B12,2013-01-29,40.85173497
,3B12,2013-01-02,42.24178792
,3B12,2013-02-23,41.99242923
,8A94,2013-01-09,
,8A94,2013-01-10,
,3M21,2013-02-20,
,3M21,2013-02-16,
,3M21,2013-02-15,
,3M21,2013-02-06,
